Name,Date,Lat,Lng,Speed(mph),Speed(km/h),Altitude(ft),Altitude(m),Accuracy,Type,Date2
Ruksana’s iPhone,2019-12-04 9:38:39 AM,,,9,14,22,7,8,GPS,2019-12-04 09:38:39+00:00
Ruksana’s iPhone,2019-12-04 9:40:01 AM,,,5,8,19,6,8,GPS,2019-12-04 09:40:01+00:00
Ruksana’s iPhone,2019-12-04 9:41:17 AM,,,5,8,22,7,16,GPS,2019-12-04 09:41:17+00:00
Ruksana’s iPhone,2019-12-04 9:43:00 AM,,,14,23,22,7,32,GPS,2019-12-04 09:43:00+00:00
Ruksana’s iPhone,2019-12-04 9:44:29 AM,,,2,3,32,10,24,GPS,2019-12-04 09:44:29+00:00
Ruksana’s iPhone,2019-12-04 9:46:28 AM,,,9,14,26,8,16,GPS,2019-12-04 09:46:28+00:00
Ruksana’s iPhone,2019-12-04 9:47:54 AM,,,15,24,22,7,8,GPS,2019-12-04 09:47:54+00:00
Ruksana’s iPhone,2019-12-04 9:49:19 AM,,,8,13,19,6,16,GPS,2019-12-04 09:49:19+00:00
Ruksana’s iPhone,2019-12-04 9:50:57 AM,,,5,8,22,7,8,GPS,2019-12-04 09:50:57+00:00
Ruksana’s iPhone,2019-12-04 9:53:13 AM,,,1,2,32,10,16,GPS,2019-12-04 09:53:13+00:00
Ruksana’s iPhone,2019-12-04 9:55:39 AM,,,,,49,15,32,GPS,2019-12-04 09:55:39+00:00
Ruksana’s iPhone,2019-12-04 9:56:13 AM,,,,,42,13,32,GPS,2019-12-04 09:56:13+00:00
Ruksana’s iPhone,2019-12-04 9:58:07 AM,,,,,42,13,65,GPS,2019-12-04 09:58:07+00:00
Ruksana’s iPhone,2019-12-04 10:06:54 AM,,,0,0,-3,-1,48,GPS,2019-12-04 10:06:54+00:00
Ruksana’s iPhone,2019-12-04 10:08:50 AM,,,,,39,12,65,GPS,2019-12-04 10:08:50+00:00
Ruksana’s iPhone,2019-12-04 3:12:41 PM,,,,,45,14,65,GPS,2019-12-04 15:12:41+00:00
Ruksana’s iPhone,2019-12-04 3:14:54 PM,,,,,45,14,65,GPS,2019-12-04 15:14:54+00:00
Ruksana’s iPhone,2019-12-04 3:17:05 PM,,,,,42,13,65,GPS,2019-12-04 15:17:05+00:00
Ruksana’s iPhone,2019-12-04 3:18:05 PM,,,,,42,13,65,GPS,2019-12-04 15:18:05+00:00
Ruksana’s iPhone,2019-12-04 3:20:16 PM,,,,,45,14,65,GPS,2019-12-04 15:20:16+00:00
Ruksana’s iPhone,2019-12-04 3:23:00 PM,,,,,39,12,65,GPS,2019-12-04 15:23:00+00:00
